Year,Player,AS.Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality,,AllStar
2002,Peja Stojakovic,F,10-Jun,229,Sacramento Kings,Western All-Star Replacement Selection,1996 Rnd 1 Pick 14,"Serbia
Greece",,1
2002,Chris Webber,F-C,09-Jun,245,Sacramento Kings,Western All-Star Coaches Selection,1993 Rnd 1 Pick 1,United States,,1
2001,Dikembe Mutombo,C,02-Jul,260,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1991 Rnd 1 Pick 4,Democratic Republic of the Congo,,1
2001,Vince Carter,SF,06-Jun,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States,,1
2001,Antoine Walker,F,09-Jun,265,Boston Celtics,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 6,United States,,1
2001,Allen Iverson,G,Jun-00,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States,,1
2001,Ray Allen,SG,05-Jun,205,Milwaukee Bucks,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States,,1
2001,Shareef Abdur-Rahim,F,09-Jun,225,Atlanta Hawks,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 3,United States,,1
2001,Jason Kidd,PG,04-Jun,210,New Jersey Nets,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 2,United States,,1
2001,Tracy McGrady,GF,08-Jun,210,Orlando Magic,Eastern All-Star Coaches Selection,1997 Rnd 1 Pick 9,United States,,1
2001,Alonzo Mourning,C,10-Jun,240,Miami Heat,Eastern All-Star Coaches Selection,1992 Rnd 1 Pick 2,United States,,1
2001,Paul Pierce,SF,07-Jun,235,Boston Celtics,Eastern All-Star Coaches Selection,1998 Rnd 1 Pick 10,United States,,1
2001,Jermaine O'Neal,FC,11-Jun,235,Indiana Pacers,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 17,United States,,1
2001,Baron Davis,G,03-Jun,215,Charlotte Hornets,Eastern All-Star Replacement Selection,1999 Rnd 1 Pick 3,United States,,1
2001,Michael Jordan,SG,06-Jun,215,Washington Wizards,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States,,1
2001,Shaquille O'Neal,C,01-Jul,325,Los Angeles Lakers,Western All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States,,1
2001,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States,,1
2001,Kevin Garnett,PF,11-Jun,240,Minnesota Timberwolves,Western All-Star Fan Vote Selection,1995 Rnd 1 Pick 5,United States,,1
2001,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2001,Steve Francis,G,03-Jun,195,Houston Rockets,Western All-Star Fan Vote Selection,1999 Rnd 1 Pick 2,United States,,1
2001,Karl Malone,PF,09-Jun,265,Utah Jazz,Western All-Star Coaches Selection,1985 Rnd 1 Pick 13,United States,,1
2001,Steve Nash,G,03-Jun,178,Dallas Mavericks,Western All-Star Coaches Selection,1996 Rnd 1 Pick 15,"Canada
South Africa",,1
2001,Dirk Nowitzki,PF,Jul-00,245,Dallas Mavericks,Western All-Star Coaches Selection,1998 Rnd 1 Pick 9,Germany,,1
2001,Gary Payton,G,04-Jun,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States,,1
2001,Peja Stojakovic,F,10-Jun,229,Sacramento Kings,Western All-Star Coaches Selection,1996 Rnd 1 Pick 14,"Serbia
Greece",,1
2001,Wally Szczerbiak,F,07-Jun,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1999 Rnd 1 Pick 6,"United States
Spain",,1
2001,Chris Webber,F-C,09-Jun,245,Sacramento Kings,Western All-Star Coaches Selection,1993 Rnd 1 Pick 1,United States,,1
2001,Elton Brand,PF,09-Jun,254,Los Angeles Clippers,Western All-Star Replacement Selection,1999 Rnd 1 Pick 1,United States,,1
2000,Allen Iverson,G,Jun-00,165,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1996 Rnd 1 Pick 1,United States,,1
2000,Tracy McGrady,GF,08-Jun,210,Orlando Magic,Eastern All-Star Fan Vote Selection,1997 Rnd 1 Pick 9,United States,,1
2000,Vince Carter,SF,06-Jun,220,Toronto Raptors,Eastern All-Star Fan Vote Selection,1998 Rnd 1 Pick 5,United States,,1
2000,Alonzo Mourning,C,10-Jun,240,Miami Heat,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 2,United States,,1
2000,Grant Hill,SF,08-Jun,225,Orlando Magic,Eastern All-Star Fan Vote Selection,1994 Rnd 1 Pick 3,United States,,1
2000,Ray Allen,SG,05-Jun,205,Milwaukee Bucks,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 5,United States,,1
2000,Antonio Davis,FC,09-Jun,245,Toronto Raptors,Eastern All-Star Replacement Selection,1990 Rnd 2 Pick 18,United States,,1
2000,Theo Ratliff,C,10-Jun,235,Philadelphia Sixers,Eastern All-Star Coaches Selection,1995 Rnd 1 Pick 18,United States,,1
2000,Glenn Robinson,SF,07-Jun,225,Milwaukee Bucks,Eastern All-Star Coaches Selection,1994 Rnd 1 Pick 1,United States,,1
2000,Jerry Stackhouse,SF,06-Jun,218,Detroit Pistons,Eastern All-Star Coaches Selection,1995 Rnd 1 Pick 3,United States,,1
2000,Stephon Marbury,G,02-Jun,180,New Jersey Nets,Eastern All-Star Coaches Selection,1996 Rnd 1 Pick 4,United States,,1
2000,Anthony Mason,PF,07-Jun,250,Miami Heat,Eastern All-Star Coaches Selection,1988 Rnd 3 Pick 3,United States,,1
2000,Dikembe Mutombo,C,02-Jul,260,Atlanta Hawks,Eastern All-Star Replacement Selection,1991 Rnd 1 Pick 4,Democratic Republic of the Congo,,1
2000,Latrell Sprewell,SG,05-Jun,190,New York Knicks,Eastern All-Star Replacement Selection,1992 Rnd 1 Pick 24,United States,,1
2000,Allan Houston,G,06-Jun,205,New York Knicks,Eastern All-Star Coaches Selection,1993 Rnd 1 Pick 11,United States,,1
2000,Jason Kidd,PG,04-Jun,210,Phoenix Suns,Western All-Star Fan Vote Selection,1994 Rnd 1 Pick 2,United States,,1
2000,Kobe Bryant,SG,06-Jun,212,Los Angeles Lakers,Western All-Star Fan Vote Selection,1996 Rnd 1 Pick 13,United States,,1
2000,Tim Duncan,FC,11-Jun,250,San Antonio Spurs,Western All-Star Fan Vote Selection,1997 Rnd 1 Pick 1,United States,,1
2000,Shaquille O'Neal,C,01-Jul,325,Los Angeles Lakers,Western All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States,,1
2000,Chris Webber,F-C,09-Jun,245,Sacramento Kings,Western All-Star Fan Vote Selection,1993 Rnd 1 Pick 1,United States,,1
2000,Michael Finley,G-F,07-Jun,225,Dallas Mavericks,Western All-Star Coaches Selection,1995 Rnd 1 Pick 21,United States,,1
2000,Kevin Garnett,PF,11-Jun,240,Minnesota Timberwolves,Western All-Star Coaches Selection,1995 Rnd 1 Pick 5,United States,,1
2000,Karl Malone,PF,09-Jun,265,Utah Jazz,Western All-Star Coaches Selection,1985 Rnd 1 Pick 13,United States,,1
2000,Antonio McDyess,F,09-Jun,245,Denver Nuggets,Western All-Star Coaches Selection,1995 Rnd 1 Pick 2,United States,,1
2000,Gary Payton,G,04-Jun,180,Seattle SuperSonics,Western All-Star Coaches Selection,1990 Rnd 1 Pick 2,United States,,1
2000,Rasheed Wallace,FC,11-Jun,230,Portland Trail Blazers,Western All-Star Coaches Selection,1995 Rnd 1 Pick 4,United States,,1
2000,David Robinson,C,01-Jul,250,San Antonio Spurs,Western All-Star Coaches Selection,1987 Rnd 1 Pick 1,United States,,1
2000,Vlade Divac,C,01-Jul,260,Sacramento Kings,Western All-Star Replacement Selection,1989 Rnd 1 Pick 26,Serbia,,1
2017,Kyrie Irving,,,,,,,,,1
2017,DeMar DeRozan,,,,,,,,,1
2017,LeBron James,,,,,,,,,1
2017,Giannis Antetokounmpo,,,,,,,,,1
2017,Jimmy Butler,,,,,,,,,1
2017,Isaiah Thomas,,,,,,,,,1
2017,John Wall,,,,,,,,,1
2017,Carmelo Anthony*,,,,,,,,,1
2017,Kyle Lowry,,,,,,,,,1
2017,Paul George,,,,,,,,,1
2017,Kemba Walker,,,,,,,,,1
2017,Paul Millsap,,,,,,,,,1
2017,Stephen Curry,,,,,,,,,1
2017,James Harden,,,,,,,,,1
2017,Kevin Durant,,,,,,,,,1
2017,Kawhi Leonard,,,,,,,,,1
2017,Anthony Davis,,,,,,,,,1
2017,Russell Westbrook,,,,,,,,,1
2017,Klay Thompson,,,,,,,,,1
2017,Draymond Green,,,,,,,,,1
2017,DeMarcus Cousins,,,,,,,,,1
2017,Marc Gasol,,,,,,,,,1
2017,DeAndre Jordan,,,,,,,,,1
2017,Gordon Hayward,,,,,,,,,1
